Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Chihuahua Shorthair,0.0,AM,2017-11-13
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Chihuahua Shorthair,0.0,PM,2016-05-16
Austin (TX),Owner Surrender,Normal,Neutered Male,120,Cat,Neutered Male,120,Domestic Longhair,0.0,PM,2019-04-11
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2013-11-12
Del Valle (TX),Stray,Normal,Neutered Male,24,Dog,Neutered Male,24,Miniature Poodle,0.0,PM,2014-01-28
Austin (TX),Stray,Injured,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2015-05-30
Austin (TX),Stray,Normal,Spayed Female,84,Dog,Spayed Female,84,German Shepherd,0.0,PM,2013-10-01
Austin (TX),Owner Surrender,Normal,Spayed Female,60,Dog,Spayed Female,60,Labrador Retriever,0.0,PM,2014-10-02
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2019-06-09
Travis (TX),Stray,Injured,Intact Female,24,Dog,Intact Female,24,Pit Bull,0.0,AM,2018-06-23
Austin (TX),Owner Surrender,Normal,Intact Female,3,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2018-08-20
Austin (TX),Stray,Normal,Neutered Male,132,Dog,Neutered Male,132,rare_dog,0.0,AM,2016-11-21
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,PM,2015-12-18
Austin (TX),Stray,Normal,Intact Female,24,Cat,Intact Female,24,Domestic Shorthair,0.0,PM,2013-11-12
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Chihuahua Shorthair,0.0,PM,2017-03-07
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2014-08-15
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Labrador Retriever,0.0,PM,2013-10-16
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2015-09-02
Leander (TX),Owner Surrender,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2018-02-20
Austin (TX),Stray,Nursing,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2016-06-24
Austin (TX),Stray,Normal,Neutered Male,96,Dog,Neutered Male,96,rare_dog,0.0,AM,2014-05-19
Austin (TX),Stray,Injured,Intact Male,24,Dog,Intact Male,24,Jack Russell Terrier,0.0,PM,2017-03-01
Austin (TX),Stray,Normal,Intact Male,0,Dog,Neutered Male,1,Cairn Terrier,0.0,PM,2014-09-17
Austin (TX),Stray,Normal,Neutered Male,60,Dog,Neutered Male,60,rare_dog,0.0,PM,2013-10-18
Austin (TX),Stray,Normal,Intact Female,36,Dog,Spayed Female,36,rare_dog,0.0,AM,2015-06-12
Austin (TX),Owner Surrender,Normal,Intact Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2016-05-12
Travis (TX),Stray,Normal,Unknown,0,Cat,Unknown,0,Domestic Shorthair,0.0,PM,2017-07-27
Travis (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,German Shepherd,0.0,AM,2018-08-17
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Chihuahua Shorthair,0.0,PM,2019-04-27
Austin (TX),Stray,Normal,Intact Male,84,Dog,Intact Male,84,Labrador Retriever,0.0,PM,2016-01-13
Austin (TX),Wildlife,Sick,Unknown,1,Other,Unknown,0,Bat,1.0,AM,2019-09-03
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2017-08-04
Pflugerville (TX),Owner Surrender,Normal,Spayed Female,48,Dog,Spayed Female,48,Chihuahua Shorthair,0.0,PM,2015-12-05
Travis (TX),Stray,Normal,Spayed Female,132,Dog,Spayed Female,132,Chihuahua Shorthair,0.0,PM,2018-11-17
Travis (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,24,rare_dog,0.0,PM,2015-08-25
Austin (TX),Owner Surrender,Normal,Neutered Male,84,Dog,Neutered Male,84,rare_dog,0.0,AM,2017-03-16
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,7,Domestic Shorthair,0.0,PM,2014-05-31
Austin (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,Labrador Retriever,0.0,PM,2017-03-28
Del Valle (TX),Stray,Sick,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2018-05-12
Austin (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,Chihuahua Shorthair,0.0,AM,2014-01-18
Austin (TX),Stray,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Shorthair,0.0,PM,2019-10-19
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2016-08-23
Austin (TX),Owner Surrender,Normal,Spayed Female,96,Cat,Spayed Female,96,Domestic Longhair,0.0,AM,2015-08-26
Austin (TX),Stray,Normal,Spayed Female,132,Dog,Spayed Female,132,Labrador Retriever,0.0,PM,2017-03-16
Austin (TX),Owner Surrender,Normal,Intact Male,2,Other,Intact Male,3,rare,0.0,PM,2019-07-29
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2015-06-28
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2019-02-06
Austin (TX),Stray,Normal,Intact Male,96,Dog,Neutered Male,96,rare_dog,0.0,PM,2018-05-28
Austin (TX),Stray,Normal,Unknown,1,Other,Unknown,1,rare,0.0,PM,2019-07-09
Austin (TX),Stray,Normal,Intact Male,3,Cat,Neutered Male,4,Domestic Shorthair,0.0,AM,2018-03-16
Austin (TX),Stray,Injured,Intact Female,5,Dog,Intact Female,5,Pit Bull,0.0,AM,2018-03-09
Austin (TX),Stray,Normal,Neutered Male,9,Dog,Neutered Male,9,rare_dog,0.0,PM,2016-03-15
Austin (TX),Stray,Normal,Intact Male,84,Dog,Intact Male,84,rare_dog,0.0,PM,2014-12-29
Austin (TX),Stray,Normal,Intact Female,48,Dog,Intact Female,48,Rat Terrier,0.0,PM,2018-11-05
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2018-07-04
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,2,Boxer,0.0,PM,2014-07-06
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2017-04-11
Austin (TX),Stray,Injured,Intact Male,60,Cat,Intact Male,60,Domestic Longhair,1.0,PM,2015-02-03
Austin (TX),Public Assist,Normal,Neutered Male,72,Dog,Neutered Male,72,rare_dog,0.0,PM,2018-08-20
Austin (TX),Public Assist,Normal,Neutered Male,24,Dog,Neutered Male,24,Pit Bull,0.0,PM,2013-11-26
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,rare_dog,0.0,PM,2019-02-20
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2016-05-17
Austin (TX),Stray,Normal,Intact Female,60,Cat,Intact Female,60,Domestic Medium Hair,0.0,PM,2017-03-21
Austin (TX),Stray,Normal,Neutered Male,36,Cat,Neutered Male,36,rare_cat,0.0,PM,2019-11-03
Austin (TX),Stray,Normal,Neutered Male,36,Dog,Neutered Male,36,Chihuahua Shorthair,0.0,PM,2017-05-30
Austin (TX),Stray,Normal,Intact Female,24,Dog,Intact Female,24,Chihuahua Longhair,0.0,AM,2017-10-04
Austin (TX),Wildlife,Injured,Unknown,1,Other,Unknown,1,Bat,1.0,AM,2019-03-16
Austin (TX),Stray,Normal,Unknown,6,Cat,Unknown,6,Domestic Medium Hair,0.0,AM,2014-01-11
Austin (TX),Stray,Normal,Intact Male,84,Dog,Intact Male,84,Labrador Retriever,0.0,AM,2014-08-31
Travis (TX),Stray,Normal,Intact Female,3,Cat,Intact Female,3,Domestic Shorthair,0.0,AM,2019-09-16
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Miniature Schnauzer,0.0,AM,2015-02-26
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Medium Hair,0.0,AM,2017-05-21
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,4,Domestic Shorthair,0.0,PM,2018-11-15
Austin (TX),Stray,Normal,Intact Female,24,Cat,Intact Female,24,Domestic Shorthair,0.0,PM,2019-04-20
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,PM,2019-06-08
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,AM,2019-06-24
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Dog,Spayed Female,24,rare_dog,0.0,PM,2014-03-18
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,AM,2016-06-20
Austin (TX),Stray,Normal,Intact Male,4,Dog,Neutered Male,5,Chihuahua Shorthair,0.0,PM,2019-06-19
Manor (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Medium Hair,0.0,PM,2017-08-17
Austin (TX),Public Assist,Normal,Intact Male,120,Dog,Intact Male,120,rare_dog,0.0,PM,2020-01-22
Austin (TX),Owner Surrender,Normal,Intact Female,36,Dog,Spayed Female,36,Chihuahua Shorthair,0.0,PM,2015-07-30
Austin (TX),Stray,Injured,Neutered Male,48,Cat,Neutered Male,48,Domestic Shorthair,0.0,AM,2018-07-03
Austin (TX),Wildlife,Normal,Unknown,6,Other,Unknown,6,Bat,1.0,PM,2015-02-23
Austin (TX),Stray,Normal,Intact Male,60,Dog,Neutered Male,60,rare_dog,0.0,PM,2014-02-09
Austin (TX),Stray,Injured,Neutered Male,48,Cat,Neutered Male,48,Domestic Medium Hair,1.0,AM,2015-05-06
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,AM,2018-10-27
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,3,Australian Shepherd,0.0,PM,2019-01-30
Austin (TX),Stray,Nursing,Intact Male,0,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2018-04-22
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Miniature Poodle,0.0,AM,2018-03-17
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,5,rare_dog,0.0,AM,2018-11-29
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,Labrador Retriever,0.0,AM,2017-08-06
Austin (TX),Stray,Normal,Neutered Male,84,Dog,Neutered Male,84,rare_dog,0.0,PM,2018-07-09
Austin (TX),Stray,Normal,Spayed Female,6,Cat,Spayed Female,6,Domestic Shorthair,0.0,PM,2014-02-22
Austin (TX),Stray,Normal,Intact Female,6,Cat,Spayed Female,6,Domestic Shorthair,0.0,PM,2014-11-08
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,AM,2015-06-22
Outside Jurisdiction,Public Assist,Normal,Unknown,2,Dog,Unknown,3,Labrador Retriever,0.0,PM,2017-09-07
Travis (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,3,Domestic Shorthair,0.0,PM,2019-10-11
Austin (TX),Stray,Normal,Intact Male,2,Cat,Intact Male,3,Domestic Shorthair,0.0,AM,2015-07-04
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2016-05-02
Austin (TX),Stray,Injured,Intact Male,1,Dog,Intact Male,1,Chihuahua Shorthair,0.0,PM,2015-10-30
Austin (TX),Owner Surrender,Sick,Intact Female,144,Dog,Intact Female,144,Chihuahua Shorthair,1.0,AM,2019-05-03
Travis (TX),Stray,Normal,Spayed Female,6,Dog,Spayed Female,6,rare_dog,0.0,PM,2014-10-14
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,AM,2018-02-22
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2018-10-22
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Dog,Spayed Female,24,rare_dog,0.0,PM,2014-03-31
Outside Jurisdiction,Owner Surrender,Normal,Neutered Male,24,Dog,Neutered Male,24,rare_dog,0.0,AM,2019-10-29
Lago Vista (TX),Stray,Normal,Intact Male,6,Cat,Neutered Male,8,Domestic Shorthair,0.0,PM,2018-06-13
Austin (TX),Stray,Normal,Spayed Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,AM,2016-11-30
Austin (TX),Stray,Sick,Intact Male,1,Dog,Intact Male,1,Labrador Retriever,0.0,AM,2015-08-12
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2015-02-25
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Dog,Spayed Female,24,rare_dog,0.0,PM,2019-12-27
Austin (TX),Owner Surrender,Normal,Spayed Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2018-01-23
Austin (TX),Stray,Aged,Neutered Male,120,Dog,Neutered Male,120,rare_dog,0.0,AM,2018-05-30
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Chihuahua Shorthair,0.0,PM,2019-03-18
Austin (TX),Wildlife,Normal,Unknown,36,Other,Unknown,36,Bat,1.0,PM,2014-12-02
Del Valle (TX),Owner Surrender,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,AM,2014-05-31
Travis (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2017-12-01
Austin (TX),Stray,Normal,Unknown,5,Other,Unknown,5,rare,0.0,PM,2014-06-27
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,Pit Bull,0.0,PM,2016-04-21
Austin (TX),Public Assist,Normal,Neutered Male,36,Cat,Neutered Male,36,Domestic Shorthair,0.0,PM,2016-10-03
Austin (TX),Public Assist,Normal,Intact Male,24,Dog,Intact Male,24,Dachshund,0.0,PM,2016-03-14
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Pit Bull,0.0,AM,2019-12-14
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Medium Hair,0.0,PM,2014-12-28
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2016-04-06
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,AM,2016-08-04
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Australian Shepherd,0.0,PM,2018-02-16
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Medium Hair,0.0,PM,2015-06-22
Austin (TX),Stray,Sick,Intact Female,4,Dog,Intact Female,4,Chihuahua Shorthair,1.0,AM,2018-09-23
Travis (TX),Stray,Normal,Intact Male,5,Dog,Neutered Male,6,Labrador Retriever,0.0,PM,2017-03-18
Austin (TX),Stray,Normal,Intact Female,2,Dog,Spayed Female,3,rare_dog,0.0,PM,2019-08-15
Austin (TX),Stray,Normal,Intact Female,2,Dog,Spayed Female,2,Australian Cattle Dog,0.0,PM,2013-11-19
Austin (TX),Owner Surrender,Normal,Neutered Male,108,Dog,Neutered Male,108,rare_dog,0.0,AM,2016-12-31
Austin (TX),Stray,Nursing,Intact Female,0,Dog,Intact Female,1,rare_dog,0.0,PM,2016-07-23
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Pointer,0.0,AM,2014-03-13
Austin (TX),Stray,Normal,Spayed Female,24,Dog,Spayed Female,24,German Shepherd,0.0,PM,2016-09-24
Austin (TX),Stray,Normal,Intact Female,6,Cat,Spayed Female,6,Domestic Shorthair,0.0,PM,2018-11-10
Austin (TX),Owner Surrender,Normal,Intact Female,4,Cat,Spayed Female,4,Domestic Shorthair,0.0,PM,2019-08-27
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Australian Cattle Dog,0.0,AM,2015-11-07
Austin (TX),Public Assist,Normal,Neutered Male,60,Cat,Neutered Male,60,Domestic Shorthair,0.0,AM,2016-06-17
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,Pit Bull,0.0,PM,2014-08-05
Austin (TX),Owner Surrender,Normal,Intact Male,3,Cat,Neutered Male,3,Domestic Shorthair,0.0,PM,2017-12-22
Austin (TX),Public Assist,Normal,Spayed Female,48,Cat,Spayed Female,48,Domestic Longhair,0.0,PM,2018-07-20
Austin (TX),Stray,Normal,Intact Male,1,Other,Neutered Male,1,rare,0.0,PM,2019-12-23
Austin (TX),Owner Surrender,Normal,Intact Female,11,Dog,Spayed Female,11,American Staffordshire Terrier,0.0,PM,2014-12-16
Austin (TX),Owner Surrender,Normal,Spayed Female,72,Dog,Spayed Female,72,rare_dog,0.0,PM,2016-01-02
Jonestown (TX),Public Assist,Normal,Unknown,60,Dog,Unknown,60,rare_dog,0.0,PM,2017-08-14
Austin (TX),Stray,Normal,Spayed Female,36,Dog,Spayed Female,36,Pit Bull,0.0,PM,2014-06-26
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,AM,2017-03-27
Austin (TX),Stray,Normal,Intact Male,72,Dog,Neutered Male,72,rare_dog,0.0,PM,2015-06-14
Austin (TX),Stray,Normal,Spayed Female,96,Dog,Spayed Female,96,rare_dog,0.0,AM,2015-05-27
Austin (TX),Stray,Normal,Intact Female,120,Dog,Intact Female,120,rare_dog,0.0,AM,2018-11-04
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Labrador Retriever,0.0,PM,2018-07-16
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Shorthair,0.0,AM,2016-03-10
Austin (TX),Public Assist,Normal,Neutered Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2014-06-26
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,2,Chihuahua Shorthair,0.0,PM,2015-02-22
Austin (TX),Owner Surrender,Normal,Intact Female,24,Dog,Intact Female,24,Pit Bull,1.0,PM,2016-06-29
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,AM,2019-09-30
Austin (TX),Stray,Normal,Intact Female,5,Dog,Spayed Female,5,German Shepherd,0.0,PM,2017-12-14
Austin (TX),Stray,Normal,Intact Female,108,Dog,Intact Female,120,Dachshund,0.0,PM,2015-04-10
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Siamese,0.0,AM,2015-06-08
Austin (TX),Stray,Injured,Neutered Male,48,Dog,Neutered Male,48,Rat Terrier,0.0,PM,2014-07-10
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,PM,2019-07-07
Austin (TX),Stray,Normal,Spayed Female,108,Cat,Spayed Female,108,Domestic Shorthair,0.0,PM,2015-10-11
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Pit Bull,0.0,PM,2016-02-04
Austin (TX),Owner Surrender,Normal,Spayed Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2016-11-26
Austin (TX),Stray,Normal,Spayed Female,144,Dog,Spayed Female,144,Australian Cattle Dog,0.0,PM,2014-02-10
Austin (TX),Stray,Normal,Intact Male,3,Dog,Neutered Male,4,German Shepherd,0.0,PM,2019-06-17
Manor (TX),Stray,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Medium Hair,0.0,PM,2014-11-21
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2019-11-11
Travis (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,PM,2018-09-24
Austin (TX),Stray,Normal,Spayed Female,24,Cat,Spayed Female,24,rare_cat,0.0,PM,2014-01-04
Austin (TX),Stray,Normal,Intact Male,11,Dog,Intact Male,1,rare_dog,0.0,PM,2017-04-21
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,2,rare_dog,0.0,PM,2013-12-16
Pflugerville (TX),Stray,Normal,Neutered Male,72,Dog,Neutered Male,72,rare_dog,0.0,PM,2017-02-10
Austin (TX),Public Assist,Normal,Neutered Male,10,Dog,Neutered Male,10,Australian Shepherd,0.0,PM,2016-11-14
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2017-06-27
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,PM,2016-04-07
Austin (TX),Owner Surrender,Injured,Spayed Female,84,Cat,Spayed Female,84,Domestic Shorthair,1.0,AM,2014-08-21
Austin (TX),Stray,Injured,Neutered Male,24,Dog,Neutered Male,24,Chihuahua Shorthair,1.0,PM,2015-06-28
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,PM,2013-10-01
Manor (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Medium Hair,0.0,PM,2017-08-15
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2016-08-01
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2018-07-19
Travis (TX),Public Assist,Normal,Intact Male,8,Dog,Neutered Male,8,Labrador Retriever,1.0,PM,2013-12-06
Austin (TX),Stray,Nursing,Intact Female,0,Cat,Intact Female,0,Domestic Shorthair,0.0,PM,2014-04-01
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2017-05-23
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2014-05-14
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2017-05-10
Austin (TX),Stray,Normal,Intact Female,24,Cat,Intact Female,24,Domestic Shorthair,0.0,PM,2013-10-23
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2014-12-15
Del Valle (TX),Stray,Normal,Intact Male,5,Dog,Neutered Male,5,Labrador Retriever,0.0,PM,2014-11-25
Austin (TX),Stray,Normal,Neutered Male,24,Dog,Neutered Male,24,Pit Bull,0.0,PM,2014-06-11
Austin (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2017-06-23
Manor (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Medium Hair,0.0,PM,2015-04-18
Del Valle (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,German Shepherd,0.0,PM,2018-03-24
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Intact Male,36,rare_dog,0.0,PM,2016-06-23
Austin (TX),Owner Surrender,Sick,Intact Female,60,Dog,Intact Female,60,Chihuahua Shorthair,0.0,AM,2014-04-19
Austin (TX),Stray,Aged,Neutered Male,156,Dog,Neutered Male,156,rare_dog,0.0,PM,2014-09-06
Austin (TX),Stray,Normal,Intact Female,5,Dog,Spayed Female,5,rare_dog,0.0,PM,2013-11-30
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,German Shepherd,0.0,PM,2016-06-13
