Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time
Austin (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,AM,2019-04-05
Bastrop (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,Australian Cattle Dog,0.0,PM,2016-06-29
Austin (TX),Owner Surrender,Normal,Intact Male,1,Cat,Intact Male,1,rare_cat,0.0,PM,2017-06-23
Manor (TX),Stray,Normal,Spayed Female,1,Dog,Spayed Female,1,Labrador Retriever,0.0,PM,2015-10-02
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2015-05-22
Austin (TX),Public Assist,Normal,Neutered Male,96,Dog,Neutered Male,96,rare_dog,0.0,PM,2018-07-15
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,AM,2018-03-15
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2017-08-03
Austin (TX),Stray,Normal,Intact Female,2,Dog,Spayed Female,3,Jack Russell Terrier,0.0,AM,2015-08-27
Austin (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2017-11-06
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,AM,2019-02-23
Austin (TX),Stray,Normal,Spayed Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,AM,2016-04-09
Travis (TX),Stray,Normal,Intact Male,2,Dog,Intact Male,3,Labrador Retriever,0.0,AM,2016-06-28
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,PM,2019-05-25
Austin (TX),Stray,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Shorthair,0.0,PM,2014-11-14
Manor (TX),Owner Surrender,Normal,Intact Female,2,Dog,Spayed Female,2,rare_dog,0.0,PM,2019-11-03
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,Chihuahua Shorthair,0.0,PM,2013-11-08
Travis (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Rat Terrier,0.0,PM,2017-09-30
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Chihuahua Shorthair,0.0,PM,2015-01-23
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2014-07-19
Travis (TX),Stray,Normal,Spayed Female,120,Dog,Spayed Female,120,Pit Bull,0.0,AM,2019-04-13
Austin (TX),Wildlife,Injured,Unknown,1,Other,Unknown,1,Raccoon,1.0,PM,2016-02-24
Austin (TX),Stray,Normal,Intact Male,7,Dog,Neutered Male,8,Labrador Retriever,0.0,PM,2018-04-01
Austin (TX),Stray,Normal,Intact Female,7,Cat,Intact Female,8,Domestic Shorthair,0.0,PM,2019-07-01
Austin (TX),Stray,Normal,Spayed Female,6,Cat,Spayed Female,6,Domestic Shorthair,0.0,PM,2018-09-10
Austin (TX),Stray,Nursing,Intact Female,0,Dog,Spayed Female,2,Chihuahua Shorthair,0.0,PM,2019-08-03
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2018-09-22
Austin (TX),Stray,Normal,Spayed Female,24,Dog,Spayed Female,24,Pointer,0.0,PM,2015-10-31
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,3,Domestic Shorthair,0.0,PM,2016-08-18
Austin (TX),Stray,Normal,Intact Female,24,Cat,Intact Female,24,Domestic Shorthair,0.0,PM,2017-12-13
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2015-03-25
Austin (TX),Owner Surrender,Normal,Neutered Male,48,Dog,Neutered Male,48,Boxer,0.0,PM,2016-11-13
Austin (TX),Stray,Normal,Intact Male,60,Dog,Intact Male,60,rare_dog,0.0,PM,2018-08-31
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,Chihuahua Shorthair,0.0,PM,2019-12-31
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2017-06-23
Austin (TX),Stray,Normal,Intact Female,3,Cat,Intact Female,3,Domestic Shorthair,0.0,AM,2019-11-18
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2017-08-02
Del Valle (TX),Public Assist,Sick,Intact Male,4,Dog,Intact Male,4,Pit Bull,0.0,PM,2018-08-12
Austin (TX),Stray,Normal,Intact Male,36,Dog,Neutered Male,36,Chihuahua Shorthair,0.0,AM,2015-04-02
Travis (TX),Stray,Normal,Neutered Male,96,Dog,Neutered Male,96,Labrador Retriever,0.0,PM,2017-08-28
Austin (TX),Stray,Normal,Unknown,3,Cat,Unknown,3,Domestic Shorthair,0.0,PM,2018-01-23
Austin (TX),Owner Surrender,Normal,Intact Male,2,Dog,Neutered Male,2,Jack Russell Terrier,0.0,PM,2015-09-10
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2017-08-15
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,4,Domestic Shorthair,0.0,AM,2017-09-01
Manor (TX),Public Assist,Normal,Intact Female,6,Dog,Intact Female,6,rare_dog,0.0,PM,2016-10-07
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2017-06-08
Austin (TX),Stray,Normal,Intact Male,8,Dog,Neutered Male,9,rare_dog,0.0,PM,2013-10-26
Austin (TX),Public Assist,Normal,Intact Male,1,Dog,Intact Male,1,Pit Bull,0.0,PM,2019-07-22
Austin (TX),Stray,Sick,Intact Male,1,Cat,Intact Male,1,Siamese,1.0,PM,2014-12-02
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,2,rare_dog,0.0,PM,2014-06-18
Pflugerville (TX),Owner Surrender,Normal,Intact Female,1,Dog,Intact Female,2,Labrador Retriever,0.0,PM,2013-12-16
Austin (TX),Public Assist,Normal,Intact Female,1,Cat,Intact Female,24,Domestic Medium Hair,0.0,PM,2014-06-17
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,AM,2018-10-27
Austin (TX),Stray,Normal,Intact Male,48,Dog,Intact Male,48,Chihuahua Shorthair,0.0,PM,2018-03-28
Travis (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2019-12-02
Outside Jurisdiction,Owner Surrender,Sick,Neutered Male,3,Dog,Neutered Male,3,rare_dog,0.0,PM,2016-08-03
Austin (TX),Stray,Normal,Intact Female,9,Dog,Spayed Female,10,Catahoula,0.0,PM,2018-06-04
Austin (TX),Public Assist,Normal,Intact Male,84,Dog,Intact Male,84,Pit Bull,0.0,PM,2015-12-07
Austin (TX),Stray,Sick,Intact Male,1,Cat,Intact Male,2,Siamese,0.0,PM,2018-06-20
Travis (TX),Stray,Normal,Intact Male,4,Dog,Intact Male,5,rare_dog,0.0,AM,2019-07-13
Austin (TX),Stray,Sick,Intact Male,1,Cat,Neutered Male,3,Domestic Shorthair,0.0,AM,2019-05-10
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2015-09-22
Austin (TX),Owner Surrender,Normal,Neutered Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2018-06-24
Austin (TX),Owner Surrender,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,AM,2017-01-03
Austin (TX),Owner Surrender,Normal,Intact Male,10,Other,Intact Male,10,rare,0.0,AM,2014-01-08
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,3,Domestic Shorthair,0.0,PM,2015-06-09
Travis (TX),Stray,Feral,Intact Male,2,Cat,Neutered Male,2,Siamese,0.0,AM,2014-10-02
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Neutered Male,36,rare_dog,0.0,PM,2019-10-05
Austin (TX),Stray,Normal,Neutered Male,144,Dog,Neutered Male,144,Chihuahua Shorthair,0.0,PM,2017-05-10
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Chihuahua Shorthair,0.0,AM,2014-03-06
Austin (TX),Stray,Normal,Neutered Male,36,Dog,Neutered Male,36,Catahoula,0.0,AM,2018-08-11
Austin (TX),Stray,Normal,Neutered Male,120,Dog,Neutered Male,120,Rat Terrier,0.0,AM,2018-09-24
Austin (TX),Owner Surrender,Sick,Neutered Male,108,Dog,Neutered Male,108,rare_dog,0.0,PM,2018-05-21
Austin (TX),Owner Surrender,Normal,Spayed Female,120,Dog,Spayed Female,120,rare_dog,0.0,PM,2014-09-02
Travis (TX),Owner Surrender,Normal,Spayed Female,1,Dog,Spayed Female,2,rare_dog,0.0,AM,2016-12-18
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2015-07-27
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2015-07-21
Austin (TX),Owner Surrender,Normal,Neutered Male,72,Cat,Neutered Male,72,Domestic Shorthair,0.0,PM,2020-01-09
Austin (TX),Owner Surrender,Normal,Neutered Male,72,Dog,Neutered Male,72,Chihuahua Shorthair,0.0,PM,2016-02-28
Austin (TX),Stray,Nursing,Intact Male,0,Dog,Neutered Male,1,German Shepherd,0.0,AM,2019-12-02
Austin (TX),Owner Surrender,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,AM,2015-06-19
Austin (TX),Stray,Normal,Intact Male,4,Dog,Intact Male,4,rare_dog,0.0,PM,2017-10-26
Pflugerville (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2019-07-30
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2014-08-26
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,Cairn Terrier,0.0,PM,2014-12-16
Pflugerville (TX),Owner Surrender,Normal,Neutered Male,24,Cat,Neutered Male,24,Domestic Shorthair,0.0,PM,2019-11-09
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2017-05-10
Austin (TX),Stray,Normal,Intact Female,3,Dog,Spayed Female,3,rare_dog,0.0,PM,2018-07-03
Travis (TX),Stray,Normal,Intact Female,7,Dog,Spayed Female,8,rare_dog,0.0,PM,2019-04-03
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Longhair,0.0,PM,2019-05-14
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2015-10-11
Jonestown (TX),Euthanasia Request,Sick,Neutered Male,192,Dog,Neutered Male,192,German Shepherd,1.0,PM,2015-10-04
Manor (TX),Stray,Normal,Intact Female,2,Cat,Spayed Female,3,Domestic Medium Hair,0.0,AM,2018-07-30
Manor (TX),Stray,Normal,Unknown,5,Cat,Unknown,5,Domestic Medium Hair,0.0,AM,2019-10-12
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2015-01-17
Travis (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2016-11-17
Austin (TX),Stray,Normal,Intact Male,0,Cat,Intact Male,0,Domestic Shorthair,0.0,PM,2014-08-28
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,Pit Bull,0.0,PM,2014-11-16
Del Valle (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2015-05-18
Pflugerville (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Siamese,0.0,PM,2015-10-15
Austin (TX),Owner Surrender,Normal,Intact Male,10,Dog,Neutered Male,11,Labrador Retriever,0.0,PM,2018-03-05
Austin (TX),Stray,Normal,Unknown,1,Other,Unknown,1,rare,0.0,PM,2019-12-31
Austin (TX),Wildlife,Normal,Unknown,36,Other,Unknown,36,Bat,1.0,PM,2014-10-27
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Intact Male,36,Jack Russell Terrier,0.0,PM,2017-11-27
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2015-10-05
Travis (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,rare_dog,0.0,PM,2014-09-12
Austin (TX),Stray,Injured,Unknown,1,Other,Unknown,1,Raccoon,1.0,PM,2016-10-02
Austin (TX),Euthanasia Request,Aged,Neutered Male,132,Dog,Neutered Male,132,Pit Bull,1.0,PM,2015-10-25
Austin (TX),Stray,Normal,Intact Female,48,Dog,Spayed Female,48,Chihuahua Shorthair,0.0,PM,2014-07-09
Austin (TX),Stray,Normal,Intact Female,24,Cat,Intact Female,24,Domestic Medium Hair,0.0,PM,2017-12-02
Austin (TX),Stray,Nursing,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2018-05-20
Manor (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2015-09-29
Austin (TX),Stray,Normal,Intact Female,2,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2019-10-02
Austin (TX),Stray,Normal,Intact Male,36,Dog,Neutered Male,36,American Staffordshire Terrier,0.0,PM,2020-01-22
Austin (TX),Public Assist,Normal,Intact Male,1,Dog,Intact Male,2,German Shepherd,0.0,AM,2020-01-16
Austin (TX),Stray,Normal,Spayed Female,96,Dog,Spayed Female,96,Pit Bull,0.0,AM,2017-06-05
Austin (TX),Public Assist,Normal,Intact Female,1,Dog,Spayed Female,1,Chihuahua Shorthair,0.0,PM,2015-04-29
Austin (TX),Stray,Normal,Intact Female,3,Cat,Intact Female,3,Domestic Shorthair,0.0,PM,2017-06-09
Austin (TX),Stray,Normal,Spayed Female,48,Cat,Spayed Female,48,Domestic Longhair,0.0,PM,2017-09-29
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,Pointer,0.0,PM,2019-06-17
Austin (TX),Stray,Normal,Intact Female,4,Dog,Spayed Female,5,Dachshund,0.0,PM,2014-01-08
Austin (TX),Wildlife,Sick,Unknown,24,Other,Unknown,24,Raccoon,1.0,AM,2016-12-16
Travis (TX),Stray,Normal,Spayed Female,5,Cat,Spayed Female,6,Domestic Shorthair,0.0,PM,2019-08-29
Travis (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2019-05-09
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Medium Hair,0.0,PM,2019-10-03
Austin (TX),Stray,Injured,Spayed Female,36,Dog,Spayed Female,36,Chihuahua Shorthair,0.0,AM,2014-11-26
Travis (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,rare_dog,0.0,PM,2018-09-24
Austin (TX),Stray,Normal,Intact Male,4,Cat,Neutered Male,4,Domestic Shorthair,0.0,AM,2018-09-28
Austin (TX),Stray,Other,Spayed Female,36,Cat,Spayed Female,36,Domestic Shorthair,0.0,AM,2017-05-02
Travis (TX),Stray,Normal,Intact Female,36,Dog,Intact Female,36,rare_dog,0.0,AM,2019-07-12
Austin (TX),Stray,Normal,Intact Female,24,Cat,Spayed Female,24,Domestic Shorthair,0.0,PM,2017-03-02
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,PM,2018-10-24
Austin (TX),Owner Surrender,Normal,Spayed Female,1,Dog,Spayed Female,1,Pit Bull,0.0,AM,2018-04-02
Travis (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2017-09-24
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,5,Domestic Shorthair,0.0,PM,2017-08-06
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,3,Domestic Medium Hair,0.0,PM,2017-06-06
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Raccoon,1.0,PM,2017-03-03
Austin (TX),Stray,Normal,Spayed Female,84,Cat,Spayed Female,84,Domestic Shorthair,0.0,PM,2017-11-21
Austin (TX),Owner Surrender,Normal,Intact Female,24,Dog,Spayed Female,24,Dachshund,0.0,PM,2019-06-07
Austin (TX),Stray,Normal,Spayed Female,60,Dog,Spayed Female,60,Pit Bull,0.0,AM,2014-09-03
Austin (TX),Stray,Normal,Neutered Male,36,Cat,Neutered Male,36,rare_cat,0.0,PM,2013-12-21
Austin (TX),Owner Surrender,Normal,Neutered Male,60,Dog,Neutered Male,60,rare_dog,0.0,PM,2019-10-16
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2017-08-03
Austin (TX),Stray,Normal,Neutered Male,48,Dog,Neutered Male,60,Miniature Poodle,0.0,PM,2015-03-11
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Intact Male,36,German Shepherd,0.0,PM,2016-02-26
Austin (TX),Stray,Normal,Neutered Male,96,Dog,Neutered Male,96,rare_dog,0.0,PM,2013-12-29
Austin (TX),Owner Surrender,Normal,Neutered Male,60,Dog,Neutered Male,60,Miniature Schnauzer,0.0,AM,2017-02-11
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Pit Bull,0.0,AM,2016-02-29
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2019-06-25
Austin (TX),Stray,Normal,Intact Female,4,Dog,Intact Female,4,German Shepherd,0.0,PM,2013-10-14
Austin (TX),Stray,Normal,Neutered Male,96,Dog,Neutered Male,96,Chihuahua Shorthair,0.0,PM,2016-10-15
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,AM,2016-09-05
Austin (TX),Stray,Normal,Intact Male,9,Cat,Neutered Male,11,Domestic Shorthair,0.0,PM,2017-09-30
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,rare_dog,0.0,PM,2019-06-04
Travis (TX),Stray,Injured,Intact Female,8,Cat,Spayed Female,1,Domestic Shorthair,0.0,AM,2018-12-04
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Longhair,0.0,AM,2013-11-06
Austin (TX),Stray,Normal,Intact Female,5,Dog,Spayed Female,5,rare_dog,0.0,PM,2014-11-05
Austin (TX),Public Assist,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2019-04-16
Austin (TX),Wildlife,Sick,Unknown,1,Other,Unknown,1,Raccoon,1.0,PM,2014-01-18
Austin (TX),Stray,Sick,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2019-06-03
Austin (TX),Stray,Normal,Intact Male,0,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2014-12-30
Del Valle (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2016-04-28
Austin (TX),Stray,Normal,Intact Female,60,Cat,Intact Female,60,Domestic Shorthair,0.0,PM,2017-11-07
Austin (TX),Stray,Normal,Intact Female,36,Dog,Intact Female,36,rare_dog,0.0,PM,2019-04-12
Austin (TX),Stray,Normal,Unknown,1,Other,Unknown,1,rare,0.0,AM,2018-05-06
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,AM,2014-05-04
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,Pit Bull,0.0,PM,2019-12-01
Austin (TX),Public Assist,Normal,Neutered Male,120,Dog,Neutered Male,120,rare_dog,0.0,AM,2016-02-11
Austin (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2016-10-17
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2018-05-05
Austin (TX),Stray,Normal,Intact Female,48,Cat,Intact Female,48,Domestic Shorthair,0.0,PM,2014-02-11
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2016-05-21
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Intact Male,36,American Staffordshire Terrier,0.0,PM,2017-04-28
Austin (TX),Wildlife,Sick,Unknown,24,Other,Unknown,24,Raccoon,1.0,PM,2013-12-12
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,PM,2017-01-26
Austin (TX),Stray,Normal,Intact Female,7,Dog,Spayed Female,8,rare_dog,0.0,PM,2019-03-26
Austin (TX),Stray,Normal,Intact Female,6,Dog,Spayed Female,6,Chihuahua Shorthair,0.0,PM,2015-07-05
Austin (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,Labrador Retriever,0.0,AM,2015-07-06
Austin (TX),Owner Surrender,Normal,Neutered Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2018-05-25
Austin (TX),Stray,Normal,Neutered Male,60,Cat,Neutered Male,60,Siamese,0.0,PM,2014-03-02
Del Valle (TX),Stray,Normal,Intact Male,0,Cat,Intact Male,0,Domestic Shorthair,0.0,AM,2014-04-29
Pflugerville (TX),Stray,Nursing,Unknown,0,Cat,Unknown,0,Domestic Shorthair,0.0,AM,2016-03-18
Austin (TX),Stray,Normal,Intact Female,2,Dog,Intact Female,3,rare_dog,0.0,PM,2014-10-14
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Pit Bull,0.0,PM,2016-05-05
Austin (TX),Public Assist,Normal,Spayed Female,132,Dog,Spayed Female,132,rare_dog,0.0,PM,2015-03-30
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2018-08-10
Austin (TX),Stray,Normal,Intact Male,7,Dog,Intact Male,7,Pit Bull,0.0,AM,2017-05-15
Austin (TX),Stray,Normal,Unknown,24,Cat,Unknown,24,Domestic Shorthair,0.0,AM,2014-06-29
Austin (TX),Owner Surrender,Normal,Spayed Female,156,Dog,Spayed Female,156,Labrador Retriever,0.0,PM,2018-02-16
Austin (TX),Stray,Injured,Unknown,3,Cat,Unknown,3,Domestic Shorthair,1.0,AM,2017-06-17
Austin (TX),Stray,Normal,Neutered Male,1,Dog,Neutered Male,1,rare_dog,0.0,AM,2017-05-18
Austin (TX),Stray,Normal,Unknown,24,Cat,Unknown,24,Domestic Shorthair,0.0,PM,2019-04-22
Austin (TX),Owner Surrender,Normal,Neutered Male,144,Cat,Neutered Male,156,Domestic Shorthair,0.0,PM,2018-05-09
Austin (TX),Stray,Sick,Intact Male,6,Dog,Intact Male,6,rare_dog,1.0,PM,2017-09-15
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2016-10-10
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,Australian Cattle Dog,0.0,PM,2019-02-11
Leander (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,rare_cat,0.0,PM,2014-05-13
Austin (TX),Stray,Normal,Spayed Female,204,Cat,Spayed Female,204,Siamese,0.0,PM,2015-07-01
Austin (TX),Stray,Nursing,Intact Female,0,Cat,Spayed Female,1,Domestic Shorthair,0.0,AM,2019-04-11
Austin (TX),Stray,Normal,Intact Female,2,Cat,Spayed Female,3,Domestic Shorthair,0.0,AM,2019-07-16
Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,48,Dog,Spayed Female,48,Labrador Retriever,0.0,AM,2017-03-12
Austin (TX),Stray,Normal,Neutered Male,72,Dog,Neutered Male,72,Pit Bull,0.0,AM,2015-11-28
